id	verb	transitive	derived	type
239	اِشْتَقَّ	1	مُشْتَقٌّ	Predicate
240	اِشْتَكَى	1	مُشْتَكًى	Predicate
241	اِشْتَهَى	1	مُشْتَهًى	Predicate
242	اِصْطَفَى	1	مُصْطَفىً	Predicate
243	اِصْطَلَحَ	1	مُصْطَلَحٌ	Predicate
244	اِضْطَرَّ	1	مُضْطَرٌّ	Predicate
245	اِضْطَهَدَ	1	مُضْطَهَدٌ	Predicate
246	اِعْتَبَرَ	1	مُعْتَبَرٌ	Predicate
247	اِعْتَرَفَ	1	مُعْتَرَفٌ	Predicate
248	اِعْتَرَكَ	1	مُعْتَرَكٌ	Predicate
249	اِعْتَصَمَ	1	مُعْتَصَمٌ	Predicate
250	اِعْتَقَدَ	1	مُعْتَقَدٌ	Predicate
251	اِعْتَقَلَ	1	مُعْتَقَلٌ	Predicate
252	اِعْتَلَّ	1	مُعْتَلٌّ	Predicate
253	اِعْتَمَدَ	1	مُعْتَمَدٌ	Predicate
254	اِغْتَالَ	1	مُغْتَالٌ	Predicate
255	اِغْتَصَبَ	1	مُغْتَصَبٌ	Predicate
256	اِفْتَرَضَ	1	مُفْتَرَضٌ	Predicate
257	اِفْتَرَقَ	1	مُفْتَرَقٌ	Predicate
258	اِفْتَعَلَ	1	مُفْتَعَلٌ	Predicate
259	اِقْتَبَسَ	1	مُقْتَبَسٌ	Predicate
260	اِقْتَحَمَ	1	مُقْتَحَمٌ	Predicate
261	اِقْتَرَحَ	1	مُقْتَرَحٌ	Predicate
262	اِقْتَرَضَ	1	مُقْتَرَضٌ	Predicate
263	اِقْتَضَبَ	1	مُقْتَضَبٌ	Predicate
264	اِقْتَضَى	1	مُقْتَضىً	Predicate
265	اِقْتَطَعَ	1	مُقْتَطَعٌ	Predicate
266	اِقْتَطَفَ	1	مُقْتَطَفٌ	Predicate
267	اِقْتَلَعَ	1	مُقْتَلَعٌ	Predicate
268	اِكْتَسَبَ	1	مُكْتَسَبٌ	Predicate
269	اِكْتَسَحَ	1	مُكْتَسَحٌ	Predicate
270	اِكْتَظَّ	1	مُكْتَظٌّ	Predicate
271	اِكْتَنَفَ	1	مُكْتَنَفٌ	Predicate
272	اِلْتَاعَ	1	مُلْتَاعٌ	Predicate
273	اِلْتَفَّ	1	مُلْتَفٌّ	Predicate
274	اِمْتَحَنَ	1	مُمْتَحَنٌ	Predicate
275	اِمْتَلَكَ	1	مُمْتَلَكٌ	Predicate
276	اِمْتَهَنَ	1	مُمْتَهَنٌ	Predicate
277	اِنْتَجَعَ	1	مُنْتَجَعٌ	Predicate
278	اِنْتَحَلَ	1	مُنْتَحَلٌ	Predicate
279	اِنْتَخَبَ	1	مُنْتَخَبٌ	Predicate
280	اِنْتَدَبَ	1	مُنْتَدَبٌ	Predicate
281	اِنْتَصَفَ	1	مُنْتَصَفٌ	Predicate
282	اِنْتَقَدَ	1	مُنْتَقَدٌ	Predicate
283	اِنْتَقَى	1	مُنْتَقىً	Predicate
284	اِنْتَهَكَ	1	مُنْتَهَكٌ	Predicate
285	اِنْتَهَى	1	مُنْتَهىً	Predicate
286	اِنْحَدَرَ	1	مُنْحَدَرٌ	Predicate
287	اِنْسَلَخَ	1	مُنْسَلَخٌ	Predicate
288	اِنْصَرَفَ	1	مُنْصَرَفٌ	Predicate
289	اِنْضَمَّ	1	مُنْضَمٌّ	Predicate
290	اِنْطَلَقَ	1	مُنْطَلَقٌ	Predicate
291	اِنْعَرَجَ	1	مُنْعَرَجٌ	Predicate
292	اِنْعَكَسَ	1	مُنْعَكَسٌ	Predicate
293	اِنْقَلَبَ	1	مُنْقَلَبٌ	Predicate
294	بَاعَ	1	مَبِيعٌ	Predicate
295	بَتَرَ	1	مَبْتُورٌ	Predicate
296	بَثَرَ	1	مَبْثُورٌ	Predicate
297	بجل	1	مبجلٌّ	Predicate
